decision_mode,sample_group,sample_idx,contract_id,snapshot_idx,rep_rank_pct,low_rep_streak,decision,risk_label,market_view,reputation_view,reason,prompt_tokens,completion_tokens,total_tokens,latency_ms,parse_success,model_name,source_file,source_row,fields_valid,expected_risk_label,expected_decision_from_risk_label,expected_decision_from_views,view_to_risk_consistent,risk_to_decision_consistent,end_to_end_consistent,logic_violation,violation_type
llm_base,malicious_pre_report,0,8_3_155ecac8_155ecac8,119,0.3789473684210526,0.0,ALLOW_BUY,NO_RISK,neutral,neutral,"There are no trades or buyers in the current window and no reputation signals provided, so there is insufficient evidence of meaningful risk.",711,74,785,1204,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,2,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
llm_base,malicious_pre_report,1,8_3_c5371723_c5371723,113,0.5052631578947369,0.0,ALLOW_BUY,NO_RISK,neutral,neutral,"No market activity or reputation signals are present in the provided window data, so there is no strong evidence of meaningful risk.",708,73,781,1150,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,3,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
llm_base,malicious_pre_report,2,8_3_74547805_74547805,34,0.7708333333333334,0.0,ALLOW_BUY,NO_RISK,neutral,neutral,"No market activity is observed in the current window and no reputation signals are provided, so there is no strong evidence of meaningful NFT risk.",711,76,787,1295,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,4,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
llm_base,malicious_pre_report,3,8_3_4362e588_4362e588,42,0.4736842105263157,0.0,ALLOW_BUY,NO_RISK,neutral,neutral,"No trading activity and no reputation signals are present, so there is insufficient evidence of meaningful contract risk.",711,69,780,1136,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,5,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
llm_base,malicious_pre_report,4,8_3_162d44f0_162d44f0,52,0.484375,0.0,ALLOW_BUY,NO_RISK,neutral,neutral,"No market activity or buyer/trade signals in the current window and no reputation indicators are provided, so there is no strong risk evidence.",711,76,787,1395,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,6,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
llm_base,malicious_pre_report,5,8_3_c8fd581c_c8fd581c,111,0.936842105263158,91.0,ALLOW_BUY,NO_RISK,neutral,neutral,"No trading or activity data is present in the window and no reputation signals are provided, so there is insufficient evidence of meaningful risk.",708,75,783,1624,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,7,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
llm_base,malicious_pre_report,6,8_3_155ecac8_155ecac8,119,0.3789473684210526,0.0,ALLOW_BUY,NO_RISK,neutral,neutral,"No trading activity or minting is observed in the window and no reputation signals are provided, so there is insufficient evidence of meaningful risk.",711,76,787,1147,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,8,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
llm_base,malicious_pre_report,7,8_3_fbbeee19_fbbeee19,111,0.631578947368421,0.0,ALLOW_BUY,NO_RISK,negative,neutral,"No trading or mint activity in the window suggests lack of data, while no reputation signals are provided to confirm meaningful risk.",708,73,781,1122,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,9,True,RISK,ALLOW_BUY,AVOID_BUY,False,True,False,True,evidence_views_do_not_match_risk_label
llm_base,malicious_pre_report,8,8_3_c1e13c80_c1e13c80,112,0.2947368421052631,0.0,ALLOW_BUY,NO_RISK,neutral,neutral,"No market activity or reputation signals are provided, so there is insufficient evidence of meaningful risk.",708,67,775,1150,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,10,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
llm_base,malicious_pre_report,9,8_3_cff377d0_cff377d0,45,0.9482758620689656,20.0,ALLOW_BUY,NO_RISK,neutral,neutral,"No market activity or reputation signals are provided in the record, so there is insufficient evidence of meaningful risk.",708,70,778,1123,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,11,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
llm_base,malicious_pre_report,10,8_3_4362e588_4362e588,42,0.4736842105263157,0.0,ALLOW_BUY,NO_RISK,neutral,neutral,"Market activity is effectively absent (zero trades/mints) and no reputation signals are provided, so there is no strong evidence of meaningful NFT risk.",711,78,789,1166,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,12,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
llm_base,malicious_pre_report,11,8_3_4362e588_4362e588,42,0.4736842105263157,0.0,ALLOW_BUY,NO_RISK,neutral,neutral,"No sales or buyer activity in the window suggests neutral conditions, and no reputation evidence is provided to indicate meaningful additional risk.",711,73,784,1200,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,13,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
llm_base,malicious_pre_report,12,8_3_e6d00e3b_e6d00e3b,42,0.6842105263157895,0.0,ALLOW_BUY,NO_RISK,neutral,neutral,"No market activity in the window and no reputation indicators are provided, so there is insufficient evidence of meaningful risk.",711,71,782,1175,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,14,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
llm_base,malicious_pre_report,13,8_3_c8fd581c_c8fd581c,111,0.936842105263158,91.0,ALLOW_BUY,NO_RISK,neutral,neutral,"No market activity or pricing data is present and no reputation signals are provided, so there is no strong evidence of risk.",708,73,781,1269,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,15,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
llm_base,malicious_pre_report,14,8_3_0d99cc92_0d99cc92,71,0.6829268292682927,0.0,ALLOW_BUY,NO_RISK,neutral,neutral,"No trading activity and no market price signals are observed, and there is no reputation evidence provided, so there is no strong indication of meaningful risk.",711,78,789,1166,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,16,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
llm_base,malicious_pre_report,15,8_3_162d44f0_162d44f0,52,0.484375,0.0,ALLOW_BUY,NO_RISK,neutral,neutral,No trading or mint activity in the window leaves market evidence neutral and there is no reputation data indicating meaningful risk.,711,71,782,1245,1,gpt-5.4-nano,toptrust_100x2_decisions_end.csv,17,True,NO_RISK,ALLOW_BUY,ALLOW_BUY,True,True,True,False,
